,idCliente,NIF,Nombre,Apellido1,Apellido2,Sexo,Direccion,Municipio,Provincia,CP,Comunidad,Movil,Telefono,Correo,Nacimiento
33,34,01627358Q,Antonia,Hurtado,Fernández,M,"Plaza de  Conversación 214, 2º 5ª",San Baudilio de Llobregat,Barcelona,8872,Cataluña,,,ahurtado21@email.net,29/10/1964
34,35,34572767H,Antonia,Vilalta,Mena,M,"Avenida de  Explosión Amorosa 108, 5",Barcelona,Barcelona,8168,Cataluña,670 407 654,,antoniavilalta85@mail.com,06/02/1937
35,36,80815443K,Antonia,Ibáñez,Borras,M,"Avenida Excursión 174, 1",Barcelona,Barcelona,8135,Cataluña,,,ibañez9@email.com,30/12/1944
36,37,62074290G,David,Veiga,Gil,H,"Calle de la Decadencia 99, 3º 6ª",Tarrasa,Barcelona,8574,Cataluña,689-307-544,934-723-410,david.veiga@mail.net,28/12/1971
37,38,55196141M,Francisco,Sánchez,García,H,"Avenida del Predecesor 234, 1º",Barcelona,Barcelona,8548,Cataluña,607-705-210,,f.sanchez@correo.es,20/10/1933
38,39,64853200P,Isabel,Ballesteros,Aguilar,M,"Plaza la Intencionalidad Bondadosa 186, 4º 3ª",Sabadell,Barcelona,8043,Cataluña,,935-845-119,iballesteros@mail.es,10/02/1971
39,40,23141397Q,Iván,García,Ortiz,H,"Paseo Ocasión Estricta 31, 6º 6ª",Igualada,Barcelona,8764,Cataluña,629-443-565,,igarcia@email.com,16/01/1932
40,41,46426614X,Jaime,Cardona,Tenorio,H,"Paseo la Admisión 86, 5º",Moncada y Reixach,Barcelona,8526,Cataluña,,933-854-069,jcardona@correo.es,24/02/1988
41,42,79744289T,Josefa,Diez,Cabrera,M,"Paseo de la Abnegación Dulce 218, 4",Barcelona,Barcelona,8790,Cataluña," 647429594,0",,josefadiez@correo.net,29/04/1954
42,43,45439465K,José Antonio,Ojeda,Guzmán,H,"Paseo del Abrasivo Frío 147, 5",San Juan Despí,Barcelona,8549,Cataluña," 697158831,0",,jojeda@mail.net,02/06/1939
43,44,33127209X,José Luis,Mora,García,H,"Avenida Verbo 268, 4º 3ª",Hospitalet de Llobregat,Barcelona,8693,Cataluña," 618284564,0",,mora58@email.es,24/06/1964
44,45,36212958X,José Luis,Sevillano,Fernández,H,"Avenida la Objeción 12, 6º 6ª",Barcelona,Barcelona,8246,Cataluña," 665639870,0",,joseluissevillano60@mail.es,10/09/1959
45,46,22051082Q,José Manuel,Martínez,Pascual,H,"Plaza Confesión Pequeña 50, 3º 5ª",Mataró,Barcelona,8693,Cataluña,,,josemanuelmartinez@correo.es,01/10/1966
46,47,31720602Z,José Manuel,Ramírez,López,H,"Paseo  Dilúbrido 97, 1º 1ª",Ripollet,Barcelona,8238,Cataluña,," 938479855,0",jos.ramirez@mail.com,23/10/1972
47,48,72486062K,José María,Morales,Criado,H,"Calle Resistencia 66, 1",Santa Coloma de Gramanet,Barcelona,8198,Cataluña,,,jos.morales@correo.es,16/03/1932
48,49,09563557L,Juan,Pagés,Angulo,H,"Paseo Congruencia Aburrida 201, 4",Santa Coloma de Gramanet,Barcelona,8045,Cataluña,,,,
